Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Evan Spiegel,11.1,United States,Snapchat,197,30,"Los Angeles, California",United States,Married,2,"Bachelor of Science, Stanford University",TRUE
Luis Carlos Sarmiento,11,Colombia,banking,200,88,"Bogota, Colombia",Colombia,Married,5,"Bachelor of Arts/Science, National University of Colombia",TRUE
Andreas Struengmann & family,11,Germany,pharmaceuticals,200,71,"Tegernsee, Germany",Germany,Married,2,"Medical Doctor, University at Buffalo",TRUE
Thomas Struengmann & family,11,Germany,pharmaceuticals,200,71,"Tegernsee, Germany",Germany,Married,4,"Master of Business Administration, University of Augsburg; Master of Business Administration, University of Augsburg",TRUE
Rodolphe Saadé & family,10.9,France,shipping,203,51,"Marseille, France",France,,,"Bachelor of Arts/Science, Concordia University",FALSE
Dilip Shanghvi,10.9,India,pharmaceuticals,203,65,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University",TRUE
Tom & Judy Love,10.8,United States,retail & gas stations,205,,"Oklahoma City, Oklahoma",United States,Married,4,,TRUE
Anthony Pratt,10.8,Australia,manufacturing,205,61,"Melbourne, Australia",Australia,,2,"Bachelor of Arts/Economics, Monash University",FALSE
Wang Laisheng,10.8,China,electronics components,205,56,"Shenzhen, China",China,,,,TRUE
Gianluigi & Rafaela Aponte,10.7,Switzerland,Shipping,208,80,"Geneva, Switzerland",Switzerland,,2,,TRUE
Wang Laichun,10.7,China,electronics components,208,53,"Shenzhen, China",China,Married,,"EMBA, Tsinghua University",TRUE
Chen Jianhua,10.6,China,chemicals,210,50,"Wujiang, China",China,Married,,"Bachelor of Arts/Science, Nanjing Normal University",TRUE
Leng Youbin,10.6,China,infant formula,210,52,"Beijing, China",China,,,"Bachelor of Arts/Science, Northeast Agriculture University; EMBA, Peking University",TRUE
Charles Schwab,10.6,United States,discount brokerage,210,83,"Woodside, California",United States,Married,5,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, Stanford University",TRUE
Li Zhenguo & family,10.5,China,solar wafers and modules,213,53,"Xi'an, China",China,Married,,,TRUE
Sunil Mittal & family,10.5,India,telecom,213,63,"Delhi, India",India,Married,3,"Bachelor of Arts/Science, Punjab University",TRUE
Melker Schorling & family,10.5,Sweden,investments,213,73,"Stockholm, Sweden",Sweden,Married,2,"Master of Business Administration, Gothenburg University",TRUE
Cai Kui,10.4,China,real estate,216,58,"Chengdu, China",China,Divorced,1,"Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics",TRUE
John Fredriksen,10.4,Cyprus,shipping,216,76,"London, United Kingdom",Cyprus,Widowed,2,,TRUE
Qi Shi & family,10.4,China,financial information,216,51,"Shanghai, China",China,,,"EMBA, Fudan University; Bachelor of Arts/Science, Shanghai Jiaotong University",TRUE
"Chase Coleman, III.",10.3,United States,investments,219,45,"New York, New York",United States,Married,,"Bachelor of Arts/Science, Williams College",TRUE
Hui Wing Mau,10.3,Hong Kong,real estate,219,70,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Master of Business Administration, University of South Australia",TRUE
"Edward Johnson, III.",10.3,United States,money management,219,90,"Boston, Massachusetts",United States,Married,3,"Bachelor of Arts/Science, Harvard University",FALSE
Liu Hanyuan,10.3,China,agribusiness,219,57,"Chengdu, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",TRUE
Larry Xiangdong Chen,10.2,China,education,223,49,"Beijing, China",China,,,"Ph.D, Renmin University of China",TRUE
Philip Anschutz,10.1,United States,investments,224,81,"Denver, Colorado",United States,Married,3,"Bachelor of Arts/Science, University of Kansas",FALSE
Dietmar Hopp & family,10.1,Germany,software,224,81,"Walldorf, Germany",Germany,Married,2,"Master of Science, University of Karlsruhe",TRUE
German Khan,10.1,Russia,"oil, banking, telecom",224,59,"London, United Kingdom",Russia,Married,4,"Bachelor of Arts/Science, Moscow Institute of Steel and Alloys",TRUE
Li Ge,10.1,United States,pharmaceutical ingredients,224,54,"Shanghai, China",United States,Married,,"Ph.D, Columbia University",TRUE
Jay Chaudhry,10,United States,security software,228,61,"Reno, Nevada",United States,Married,3,,TRUE
Eric Wittouck,10,Belgium,investments,228,74,Monaco,Belgium,,,,FALSE
Carl Cook,9.9,United States,medical devices,230,58,"Bloomington, Indiana",United States,Married,,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",FALSE
Jan Koum,9.9,United States,WhatsApp,230,45,"Atherton, California",United States,Single,,"Drop Out, San Jose State University",TRUE
"Herbert Kohler, Jr. & family",9.8,United States,plumbing fixtures,232,82,"Kohler, Wisconsin",United States,Married,3,"Bachelor of Arts/Science, Yale University",FALSE
Tobi Lutke,9.8,Canada,e-commerce,232,40,"Ottawa, Canada",Canada,Married,3,,TRUE
James Dyson,9.7,United Kingdom,vacuums,234,74,"Gloucestershire, United Kingdom",United Kingdom,Married,3,,TRUE
Mat Ishbia,9.7,United States,★,234,41,"Bloomfield Hills, Michigan",United States,Divorced,3,"Bachelor of Business Administration, Michigan State University",FALSE
Savitri Jindal & family,9.7,India,steel,234,71,"Hisar, India",India,Widowed,9,,FALSE
Friedhelm Loh,9.7,Germany,manufacturing,234,74,"Haiger, Germany",Germany,Married,3,,FALSE
Iskander Makhmudov,9.7,Russia,"mining, metals, machinery",234,57,"Moscow, Russia",Russia,Married,1,"Bachelor of Arts/Science, Tashkent State University",TRUE
Stefano Pessina,9.7,Italy,drugstores,234,79,"Monte Carlo, Monaco",Italy,Divorced,2,"Bachelor of Engineering, Politecnico di Milano",FALSE
Quek Leng Chan,9.7,Malaysia,"banking, property",234,79,"Kuala Lumpur, Malaysia",Malaysia,Married,3,"LLB, Middle Temple",FALSE
Israel Englander,9.6,United States,hedge funds,241,72,"New York, New York",United States,Married,3,"Bachelor of Arts/Science, New York University",TRUE
Charles Ergen,9.6,United States,satellite TV,241,68,"Denver, Colorado",United States,Married,5,"Bachelor of Arts/Science, University of Tennessee Knoxville; Master of Business Administration, Wake Forest University School of Business",TRUE
Jim Pattison,9.6,Canada,diversified,241,92,"Vancouver, Canada",Canada,Married,3,,TRUE
Yao Liangsong,9.6,China,furniture,241,56,"Guangzhou, China",China,,,,TRUE
David Geffen,9.5,United States,"movies, record labels",245,78,"Beverly Hills, California",United States,Single,,"Drop Out, The University of Texas at Austin",TRUE
Yeung Kin-man,9.5,Hong Kong,electronics,245,57,"Hong Kong, Hong Kong",Hong Kong,Married,,,TRUE
Ding Shizhong & family,9.4,China,sports apparel,247,50,"Quanzhou, China",China,Married,2,"EMBA, Xiamen University",TRUE
Harold Hamm & family,9.4,United States,oil & gas,247,75,"Oklahoma City, Oklahoma",United States,Divorced,5,"Diploma, High School",TRUE
Jim Kennedy,9.4,United States,"media, automotive",247,73,"Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, University of Denver",FALSE
Blair Parry-Okeden,9.4,United States,"media, automotive",247,70,"New South Wales, Australia",United States,Divorced,2,"Diploma, High School; Bachelor of Arts/Science, University of Denver",FALSE
Ding Shijia,9.3,China,sports apparel,251,57,"Quanzhou, China",China,Married,,,TRUE
Kim Beom-su,9.3,South Korea,online services,251,55,"Seoul, South Korea",South Korea,Married,2,"Bachelor of Science in Engineering, Seoul National University; Master of Science, Seoul National University",TRUE
Ian & Richard Livingstone,9.3,United Kingdom,real estate,251,,"London, United Kingdom",United Kingdom,,,,TRUE
Sun Hongbin,9.3,United States,real estate,251,58,"Tianjin, China",United States,,,"Master, Tsinghua University",TRUE
Alberto Bailleres Gonzalez & family,9.2,Mexico,mining,255,89,"Mexico City, Mexico",Mexico,Married,4,,FALSE
Lam Wai-ying,9.1,Hong Kong,smartphone screens,256,,"Hong Kong, Hong Kong",Hong Kong,Married,,,TRUE
Massimiliana Landini Aleotti & family,9.1,Italy,pharmaceuticals,256,78,"Fiesole (FI), Italy",Italy,Widowed,2,,FALSE
Lu Xiangyang,9.1,China,"automobiles, batteries",256,58,"Guangzhou, China",China,Married,,,TRUE
Wolfgang Marguerre & family,9.1,Germany,pharmaceuticals,256,79,"Heidelberg, Germany",Germany,Married,3,,TRUE
David Sun,9.1,United States,computer hardware,256,69,"Irvine, California",United States,Married,2,"Bachelor of Engineering, Tatung University",TRUE
John Tu,9.1,United States,computer hardware,256,79,"Rolling Hills, California",United States,Married,2,"Bachelor of Arts/Science, Technische Universität Darmstadt",TRUE
Guillaume Pousaz,9,Switzerland,fintech,262,39,,Switzerland,Married,3,,TRUE
Viktor Vekselberg,9,Russia,"metals, energy",262,64,"Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Moscow State University of Railway Engineering",TRUE
Jerry Jones,8.9,United States,Dallas Cowboys,264,78,"Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, University of Arkansas; Master of Arts, University of Arkansas",TRUE
Michael Otto,8.9,Germany,"retail, real estate",264,78,"Hamburg, Germany",Germany,Married,2,"Doctorate, University of Hamburg; Doctorate, University of Munich",FALSE
Steven Rales,8.9,United States,manufacturing,264,70,"Santa Barbara, California",United States,Married,3,"Law Degree, American University; Bachelor of Arts/Science, DePauw University",TRUE
Sarath Ratanavadi,8.9,Thailand,energy,264,55,"Bangkok, Thailand",Thailand,Married,,"Bachelor of Science in Engineering, Chulalongkorn University; Master of Science in Engineering, University of Southern California",TRUE
Tse Ping,8.9,China,pharmaceuticals,264,69,"Hong Kong, Hong Kong",China,Married,,,TRUE
Chan Tan Ching-fen,8.8,Hong Kong,real estate,269,,"Hong Kong, Hong Kong",Hong Kong,Widowed,2,,FALSE
David Cheriton,8.8,Canada,Google,269,70,"Palo Alto, California",Canada,Divorced,4,"Bachelor of Arts/Science, University of British Columbia; Doctorate, University of Waterloo; Master of Science, University of Waterloo",TRUE
Xavier Niel,8.8,France,"internet, telecom",269,53,"Paris, France",France,Single,3,,TRUE
August von Finck,8.8,Germany,investments,269,91,"Thurgau, Switzerland",Germany,Married,4,,FALSE
Zong Qinghou,8.8,China,beverages,269,75,"Hangzhou, China",China,Married,1,,TRUE
Benu Gopal Bangur,8.7,India,cement,274,89,"Kolkata, India",India,Widowed,2,"Bachelor of Arts/Science, Calcutta University",FALSE
Sam Bankman-Fried,8.7,United States,cryptocurrency,274,29,"Hong Kong, Hong Kong",United States,,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",
Cheng Xue,8.7,China,soy sauce,274,51,"Foshan, China",China,,,,TRUE
Graeme Hart,8.7,New Zealand,investments,274,65,"Auckland, New Zealand",New Zealand,Married,2,,TRUE
Kjeld Kirk Kristiansen,8.7,Denmark,Lego,274,73,"Billund, Denmark",Denmark,Married,3,"Bachelor of Arts/Science, Aarhus Business School; Master of Business Administration, International Institute for Management and Development",FALSE
Sofie Kirk Kristiansen,8.7,Denmark,Lego,274,45,"Billund, Denmark",Denmark,,,,FALSE
Thomas Kirk Kristiansen,8.7,Denmark,Lego,274,42,"Billund, Denmark",Denmark,,,,FALSE
Lin Bin,8.7,United States,smartphones,274,53,"Shenzhen, China",United States,,,"Master, Drexel University",TRUE
Liu Jincheng & family,8.7,China,lithium batteries,274,56,"Huizhou, China",China,Married,,"Doctorate, South China University of Technology; Bachelor of Arts/Science, University of Electronic Science and Technology of China; Master of Science, Wuhan University",TRUE
Shigenobu Nagamori,8.7,Japan,motors,274,76,"Kyoto, Japan",Japan,Married,2,,TRUE
Carlos Alberto Sicupira & family,8.7,Brazil,beer,274,73,"St. Gallen, Switzerland",Brazil,Married,3,"Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro",TRUE
Agnete Kirk Thinggaard,8.7,Denmark,Lego,274,37,"Billund, Denmark",Denmark,,,,FALSE
Anthony von Mandl,8.7,Canada,alcoholic beverages,274,,"Vancouver, Canada",Canada,,,"Bachelor of Arts/Science, University of British Columbia",TRUE
Xu Shihui,8.7,China,"snacks, beverages",274,63,"Quanzhou, China",China,Married,,,TRUE
Ernesto Bertarelli,8.6,Switzerland,"biotech, investments",288,55,"Gstaad, Switzerland",Switzerland,Married,3,"Bachelor of Arts/Science, Babson College; Master of Business Administration, Harvard University",FALSE
Leon Black,8.6,United States,private equity,288,69,"New York, New York",United States,Married,4,"Bachelor of Arts/Science, Dartmouth College; Master of Business Administration, Harvard University",TRUE
Azim Premji,8.6,India,software services,288,75,"Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Stanford University",FALSE
Andrei Skoch & family,8.6,Russia,steel,288,55,"Moscow, Russia",Russia,Single,10,State Central Institute of Physical Culture,TRUE
George Soros,8.6,United States,hedge funds,288,90,"Katonah, New York",United States,Married,5,"Bachelor of Arts/Science, London School of Economics",TRUE
Zheng Shuliang & family,8.6,China,aluminum products,288,75,"Binzhou, China",China,Widowed,3,,FALSE
Marc Benioff,8.4,United States,business software,294,56,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",TRUE
Kuldip Singh & Gurbachan Singh Dhingra,8.4,India,paints,294,,"Delhi, India",India,Married,,"Bachelor of Arts/Science, Delhi University",TRUE
Ann Walton Kroenke,8.4,United States,Walmart,294,72,"Electra, Texas",United States,Married,2,"Registered Nurse, Lincoln University",FALSE
Bubba Cathy,8.3,United States,Chick-fil-A,297,67,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University",FALSE
Dan Cathy,8.3,United States,Chick-fil-A,297,68,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Southern University",FALSE
Jay Y. Lee,8.3,South Korea,Samsung,297,52,"Seoul, South Korea",South Korea,Divorced,2,"Master of Business Administration, Keio University; Bachelor of Arts/Science, Seoul National University",FALSE
Pan Dong,8.3,Canada,consumer goods,297,56,"Hong Kong, Hong Kong",Canada,Married,,"Master of Business Administration, Lawrence Technological University; Bachelor of Science, Wuhan University; Master, Wuhan University",TRUE
Hasso Plattner & family,8.3,Germany,software,297,77,"Heidelberg, Germany",Germany,Married,2,"Master of Science, University of Karlsruhe",TRUE
Nassef Sawiris,8.3,Egypt,"construction, investments",297,60,"Cairo, Egypt",Egypt,Married,4,"Bachelor of Arts/Science, University of Chicago",FALSE
Kushal Pal Singh,8.3,India,real estate,297,89,"Delhi, India",India,Widowed,3,"Bachelor of Arts/Science, Delhi University",FALSE
Stanley Kroenke,8.2,United States,"sports, real estate",304,73,"Electra, Texas",United States,Married,2,"Master of Business Administration, Robert J. Trulaske, Sr. College of Business; Bachelor of Arts/Science, University of Missouri",TRUE
Niels Peter Louis-Hansen,8.2,Denmark,medical devices,304,73,"Humlebaek, Denmark",Denmark,Married,1,,FALSE
Alain Merieux & family,8.2,France,pharmaceuticals,304,83,"Lyon, France",France,Married,3,,FALSE
Andreas von Bechtolsheim & family,8.2,Germany,Google,304,65,"Palo Alto, California",Germany,Single,,"Master of Science, Carnegie Mellon University",TRUE
Diane Hendricks,8,United States,roofing,308,74,"Afton, Wisconsin",United States,Widowed,7,"Diploma, High School",TRUE
Shahid Khan,8,United States,auto parts,308,70,"Naples, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",TRUE
Nicky Oppenheimer & family,8,South Africa,diamonds,308,75,"Johannesburg, South Africa",South Africa,Married,1,"Bachelor of Arts/Science, Oxford U Christ Church; Master of Arts, Oxford U Christ Church",FALSE
Anthony Bamford & family,7.9,United Kingdom,construction equipment,311,75,"Gloucestershire, United Kingdom",United Kingdom,Married,3,"Bachelor of Arts/Science, Grenoble University",FALSE
Andrew Beal,7.9,United States,"banks, real estate",311,68,"Dallas, Texas",United States,Divorced,6,"Drop Out, Baylor University",TRUE
Dmitry Bukhman,7.9,Russia,online games,311,35,"London, United Kingdom",Russia,Married,3,"Master of Science, Vologda State Pedagogical University",TRUE
Igor Bukhman,7.9,Russia,online games,311,39,"London, United Kingdom",Russia,Married,3,"Master of Science, Vologda State Pedagogical University",TRUE
Takahisa Takahara,7.9,Japan,personal care goods,311,59,"Tokyo, Japan",Japan,,,,FALSE
